feature,importance
raster_max,0.13448979300173622
dem,0.13045988012445459
eleStream,0.1300460825888213
raster_6h_max,0.12833661646452446
wInfiRate,0.07877497997867866
wDem,0.06905536295329204
disStream,0.05159435795184392
wNdvi,0.040135469237179436
area,0.03614568837231835
wCN,0.031478058778044465
flowLength,0.03044641050508276
twi,0.024126016760373563
wSlope,0.02399543219183868
spi,0.022331602174666378
tpi,0.019688177640785235
streamSlope,0.017739312509201625
profCurvature,0.01703197633036277
planCurvature,0.01412478243679546
