,eleStream,disStream,wSlope,streamSlope,flowLength,area,twi,spi,tpi,wNdvi,wCN,wInfiRate,dem,wDem,profCurvature,planCurvature,raster_max,raster_3h_max,raster_6h_max,raster_24h_max
eleStream,1.0,0.5205169241499185,0.17355125540909042,0.10665943179364794,0.13533737737928392,0.12661238672035136,0.21235199329067175,0.1760099096780568,0.08058297714190064,0.1731598962539724,0.07612517805326074,0.0845054347084949,0.29748983975219767,0.20817188528394254,0.26300304259908414,0.046768557246190647,0.1340422325352368,0.11693716071541013,0.06581819662444932,0.0565730144705034
disStream,0.5205169241499185,1.0,0.16122562108535293,0.004713685047098019,0.5986354633247536,0.4564471545491401,0.6421400590129137,0.74818890344091,0.09003267777913052,0.15840621254566895,0.0975854001132756,0.05777634970402362,0.053053870153717535,0.22173045774272063,0.08444443640217712,0.06744173362596087,0.0888508867914619,0.10326019818369635,0.0973399881256998,0.058243335962580765
wSlope,0.17355125540909042,0.16122562108535293,1.0,0.7146199686307397,0.4760206945241827,0.10279974262382849,0.16641678140237928,0.3458126674718911,0.01681906635731473,0.4682854016455081,0.20857191826625307,0.05825905001647774,0.17825978554206018,0.27945444175155715,0.12671110725058982,0.005060274296761749,0.14290802308169523,0.13283813180548737,0.058449365940825185,0.04361878751122592
streamSlope,0.10665943179364794,0.004713685047098019,0.7146199686307397,1.0,0.38428833762483017,0.21465672154696175,0.0012924322322141015,0.06454115202844046,0.008190859879674576,0.2983197007212717,0.13811157093049126,0.010993786232967595,0.18436463692075167,0.14980865974965235,0.1186363560392124,0.007196823002342777,0.046080106448064394,0.024661076467029787,0.024503855196000845,0.006459079071364336
flowLength,0.13533737737928392,0.5986354633247536,0.4760206945241827,0.38428833762483017,1.0,0.5724923142739624,0.7376200766809207,0.8396052232519325,0.08275242621823328,0.35871317983449486,0.19886521830908893,0.03352843976669676,0.0597516128433502,0.3612179740358727,0.04811558392026968,0.039359327098522044,0.2516040530083284,0.24548044733223912,0.20311350349598437,0.12198097328877013
area,0.12661238672035136,0.4564471545491401,0.10279974262382849,0.21465672154696175,0.5724923142739624,1.0,0.672116886358417,0.8047624316812547,0.020987582524535274,0.13441124199000887,0.10833871807710181,0.05649306876797675,0.15958405685890065,0.22705867426903456,0.09450103936191463,0.021288252468916878,0.2245632235537186,0.241498227023604,0.21095774176578666,0.09831193569906004
twi,0.21235199329067175,0.6421400590129137,0.16641678140237928,0.0012924322322141015,0.7376200766809207,0.672116886358417,1.0,0.806289554382904,0.0775901507418658,0.19527354837995164,0.13015621191716736,0.0384702399586295,0.049661393478144064,0.27528013992540323,0.035057743942281006,0.05766813733592887,0.24791392515229396,0.25199718016204237,0.22878429990300905,0.1469974711207266
spi,0.1760099096780568,0.74818890344091,0.3458126674718911,0.06454115202844046,0.8396052232519325,0.8047624316812547,0.806289554382904,1.0,0.07030725049432335,0.3097344052723891,0.19134800783805542,0.027064773595890785,0.0012542874704851794,0.3941499809841483,0.03696258088141856,0.037767877106571625,0.25480290104338205,0.2605762717702483,0.2211982239590662,0.12847136688608263
tpi,0.08058297714190064,0.09003267777913052,0.01681906635731473,0.008190859879674576,0.08275242621823328,0.020987582524535274,0.0775901507418658,0.07030725049432335,1.0,0.04539396677195968,0.022259343331705476,0.06646010484974955,0.041773672176492756,0.008116117226882007,0.18763543813658465,0.004933993803244253,0.007687130825657059,0.08369448037110695,0.15430513343586416,0.16378571547261755
wNdvi,0.1731598962539724,0.15840621254566895,0.4682854016455081,0.2983197007212717,0.35871317983449486,0.13441124199000887,0.19527354837995164,0.3097344052723891,0.04539396677195968,1.0,0.5230443216503402,0.035608572168174264,0.43048029257989,0.5114849768386286,0.04718505360203721,0.016797554664124796,0.3191810231322733,0.2973066112225836,0.16310885347325516,0.0886277320586925
