feature,importance
eleStream,0.19527593481110272
raster_max,0.1239534384831172
dem,0.11512753651135338
raster_6h_max,0.10456765409833892
wDem,0.07964710117343163
disStream,0.06135601664654853
wInfiRate,0.05925118546923582
area,0.04441493470980227
wNdvi,0.039625847125913174
flowLength,0.030602010131791674
wCN,0.028747695056835214
spi,0.02836694972328263
twi,0.02268829227802594
wSlope,0.018747671598032
streamSlope,0.017760664657845066
profCurvature,0.01168772131258325
tpi,0.010598695630251002
planCurvature,0.0075806505825094265
