feature,importance
eleStream,0.25998696405188326
wDem,0.10837862453181453
dem,0.09580303318723163
area,0.08701306520844482
raster_max,0.06702223624190144
spi,0.0362767458567864
disStream,0.029428000380868645
wInfiRate,0.025476755608100865
wNdvi,0.019660315861111645
raster_6h_max,0.018933194789921403
wSlope,0.018830642013695553
twi,0.017133000283370836
flowLength,0.006848878108247869
streamSlope,0.005033334368984432
wCN,0.002700937225515099
profCurvature,0.0017211249189129974
tpi,0.0016055923502183433
planCurvature,-0.0004895964616375203
